,0
Kantonsschule Rychenberg,
Museum Tinguely,BS
Wissenschaftliche Nationalpark- Kommission Institut für Waldbau,
Institut Universitaire Kurt Bösch ,
Pädagogische Hochschule Thurgau ,TG
Universität Basel ,BS
Institut für Kulturforschung Graubünden ,GR
Pädagogische Hochschule Luzern ,LU
Institut d'éthique sociale de la Fédération des Eglises protestantes de la Suisse,
Office du patrimoine historique Section d'archéologie,
Fernfachhochschule Schweiz ,
Universität Bern ,BE
Institut d'Histologie et d'Embryologie,
Historisches Museum,TG
WOHNSTADT Bau- und Verwaltungsgenossenschaft,
EDA,
CESSRIVE Bibliothèque,
Kunstmuseum Bern,BE
Schweizerische Arbeitsgruppe für Kriminologie,
Université de Fribourg ,FR
Staatsarchiv Basel Stadt,BS
Office fédéral de la statistique,
Fondation Jean Monnet pour l'Europe Centre de recherches européennes,
Otto Spiess Stiftung,
Musée cantonal d'archéologie et d'histoire,
Basel Institute on Governance,
Burgerbibliothek,
Institut suisse de la santé publique,
Office des écoles en santé (ODES) Département de la Formation et de la Jeunesse (DFJ),
Liceo classico-scientifico,
Aargauer Kantonsbibliothek,
Museo  Cantonale di storia naturale,
Sprachatlas der deutschen Schweiz,
Forschungskommission SAGW,
Büro für Archäologie der Stadt Zürich,ZH
Paul Sacher Stiftung Archiv und Forschungszentrum für die Musik des 20. und 21. Jahrhunderts,
Museum für Kunst und Geschichte,
Monumenti Storici Dipartimento dell'ambiente Ufficio Cantonale,
Gymnasien Kirchenfeld,
Kreisforstamt 18,
Service de la protection des monuments et sites,
Webster University,GE
Europäischer Gerichtshof für Menschenrechte,
Kantonsschule am Burggraben Rektorat,
Verband der Schweizerischen Volkshochschulen,
Schweizerische Gesellschaft für Volkskunde,
SIDOS,
FORS c/o Université de Lausanne,VD
Università della Svizzera italiana ,
Paul Scherrer Institut ,AG
Laboratoire d'Hygiène industrielle,
Institut für Strahlenhygiene BfS,
Services communs aux groupes du Département de Biologie moléculaire,
Divisione della Cultura Dipartimento dell'istruzione e della cultura del Cantone Ticino,TI
Schweiz. Institut für Kunstwissenschaft ,
Schweizerische Akademie der Medizinischen Wissenschaften,
Freies Gymnasium Zürich,ZH
Kommision der Diplomatischen Dokumente der Schweiz SAGW,
Institut Suisse prophylaxie alcoolisme,
Weitere Institute ,
Collège secondaire de Béthusy,
Archiv für Agrargeschichte,
"Justiz-, Gemeinde- und Kirchendirektion",
Pädagogische Hochschule Graubünden ,GR
Eulerkommission der SANW,
Site et Musée romains d'Avenches,VD
Fondation Braillard Architectes,
Société générale suisse d'histoire,
Schweizer Jugend Forscht,
Bundesamt für Justiz,
Stiftsarchiv,
AGGS Staatsarchiv,
Federaz. Ticinese per integrazione degli andicappati FTIA,
Tribunal fédéral,VD
Facoltà di Teologia di Lugano ,TI
Archäologie Schweiz,BE
Bundeshaus West NFP 27,
Fachstelle für Gleichstellung Frau und Mann des Kantons Zürich,ZH
Denkmalpflege und Archäologie des Kantons Luzern,LU
Dépt de langue & littérature allemandes Faculté des lettres Université de Genève,GE
Sezione sanitaria Dipartimento delle opere sociali,
Borchardt-Cohen'schen Stiftung,
"Etat de Vaud - Service Immeubles, Patrimoine et Logistique Section Patrimoine",
"Staatsarchiv Kanton Aargau Departement Bildung, Kultur und Sport",
Zentralbibliothek Solothurn,SO
Holbeingymnasium,
CEDOTEC Service d'information documentaire,
